Index,Entry,OM,SL,UT SL,Entry,OM,SL,UT SL,Entry,OM,SL,UT SL,Entry,OM,SL,UT SL,Entry,OM,SL,UT SL,Entry,OM,SL,UT SL
NIFTY,09:16:00,ATM+1,100,TTC,10:02:00,ATMS+1,75,TTC,11:02:00,ATM,100,TTC,12:02:00,ATMS-1,40,TTC,13:02:00,ATMS-1,100,TTC,14:02:00,ATMS-1,75,TTC
NIFTY,09:17:00,ATM+1,100,TTC,10:04:00,ATMS+1,75,TTC,11:04:00,ATM,100,TTC,12:04:00,ATMS-1,40,TTC,13:04:00,ATMS-1,100,TTC,14:04:00,ATMS-1,75,TTC
NIFTY,09:18:00,ATM+1,100,TTC,10:06:00,ATMS+1,75,TTC,11:06:00,ATM,100,TTC,12:06:00,ATMS-1,40,TTC,13:06:00,ATMS-1,100,TTC,14:06:00,ATMS-1,75,TTC
NIFTY,09:19:00,ATM+1,100,TTC,10:08:00,ATMS+1,75,TTC,11:08:00,ATM,100,TTC,12:08:00,ATMS-1,40,TTC,13:08:00,ATMS-1,100,TTC,14:08:00,ATMS-1,75,TTC
NIFTY,09:20:00,ATM+1,100,TTC,10:10:00,ATMS+1,75,TTC,11:10:00,ATM,100,TTC,12:10:00,ATMS-1,40,TTC,13:10:00,ATMS-1,100,TTC,14:10:00,ATMS-1,75,TTC
NIFTY,09:21:00,ATM+1,100,TTC,10:12:00,ATMS+1,75,TTC,11:12:00,ATM,100,TTC,12:12:00,ATMS-1,40,TTC,13:12:00,ATMS-1,100,TTC,14:12:00,ATMS-1,75,TTC
NIFTY,09:22:00,ATM+1,100,TTC,10:14:00,ATMS+1,75,TTC,11:14:00,ATM,100,TTC,12:14:00,ATMS-1,40,TTC,13:14:00,ATMS-1,100,TTC,14:14:00,ATMS-1,75,TTC
NIFTY,09:23:00,ATM+1,100,TTC,10:16:00,ATMS+1,75,TTC,11:16:00,ATM,100,TTC,12:16:00,ATMS-1,40,TTC,13:16:00,ATMS-1,100,TTC,14:16:00,ATMS-1,75,TTC
NIFTY,09:24:00,ATM+1,100,TTC,10:18:00,ATMS+1,75,TTC,11:18:00,ATM,100,TTC,12:18:00,ATMS-1,40,TTC,13:18:00,ATMS-1,100,TTC,14:18:00,ATMS-1,75,TTC
NIFTY,09:25:00,ATM+1,100,TTC,10:20:00,ATMS+1,75,TTC,11:20:00,ATM,100,TTC,12:20:00,ATMS-1,40,TTC,13:20:00,ATMS-1,100,TTC,14:20:00,ATMS-1,75,TTC
NIFTY,09:26:00,ATM+1,100,TTC,10:22:00,ATMS+1,75,TTC,11:22:00,ATM,100,TTC,12:22:00,ATMS-1,40,TTC,13:22:00,ATMS-1,100,TTC,14:22:00,ATMS-1,75,TTC
