entry_time,exit_time,orderside,method,decay,sl,om
09:20:00,15:25:00,sell,HL,10,20,0
09:30:00,,,,,30,0.1
09:40:00,,,,,,0.2
09:50:00,,,,,,0.3
10:00:00,,,,,,0.4
10:10:00,,,,,,
10:20:00,,,,,,
10:30:00,,,,,,
10:40:00,,,,,,
10:50:00,,,,,,
11:00:00,,,,,,
11:10:00,,,,,,
11:20:00,,,,,,
11:30:00,,,,,,
11:40:00,,,,,,
11:50:00,,,,,,
12:00:00,,,,,,
12:10:00,,,,,,
12:20:00,,,,,,
12:30:00,,,,,,
12:40:00,,,,,,
12:50:00,,,,,,
13:00:00,,,,,,
13:10:00,,,,,,
13:20:00,,,,,,
13:30:00,,,,,,
13:40:00,,,,,,
13:50:00,,,,,,
14:00:00,,,,,,
14:10:00,,,,,,
14:20:00,,,,,,
14:30:00,,,,,,
14:40:00,,,,,,
14:50:00,,,,,,
15:00:00,,,,,,
