index,dte,from_date,to_date,start_time,end_time,run
NIFTY,1,2022-01-01,31-12-2022,9:15:00,15:29:00,TRUE
NIFTY,2,2022-01-01,31-12-2022,9:15:00,15:29:00,TRUE
NIFTY,3,2022-01-01,31-12-2022,9:15:00,15:29:00,TRUE
NIFTY,4,2022-01-01,31-12-2022,9:15:00,15:29:00,TRUE
NIFTY,5,2022-01-01,31-12-2022,9:15:00,15:29:00,TRUE
NIFTY,6,2022-01-01,31-12-2022,9:15:00,15:29:00,TRUE
NIFTY,1,2023-01-01,31-12-2023,9:15:00,15:29:00,TRUE
NIFTY,2,2023-01-01,31-12-2023,9:15:00,15:29:00,TRUE
NIFTY,3,2023-01-01,31-12-2023,9:15:00,15:29:00,TRUE
NIFTY,4,2023-01-01,31-12-2023,9:15:00,15:29:00,TRUE
NIFTY,5,2023-01-01,31-12-2023,9:15:00,15:29:00,TRUE
NIFTY,6,2023-01-01,31-12-2023,9:15:00,15:29:00,TRUE
NIFTY,1,2024-01-01,31-12-2024,9:15:00,15:29:00,TRUE
NIFTY,2,2024-01-01,31-12-2024,9:15:00,15:29:00,TRUE
NIFTY,3,2024-01-01,31-12-2024,9:15:00,15:29:00,TRUE
NIFTY,4,2024-01-01,31-12-2024,9:15:00,15:29:00,TRUE
NIFTY,5,2024-01-01,31-12-2024,9:15:00,15:29:00,TRUE
NIFTY,6,2024-01-01,31-12-2024,9:15:00,15:29:00,TRUE
SENSEX,1,2024-01-01,31-12-2024,9:15:00,15:29:00,TRUE
SENSEX,2,2024-01-01,31-12-2024,9:15:00,15:29:00,TRUE
SENSEX,3,2024-01-01,31-12-2024,9:15:00,15:29:00,TRUE
SENSEX,4,2024-01-01,31-12-2024,9:15:00,15:29:00,TRUE
SENSEX,5,2024-01-01,31-12-2024,9:15:00,15:29:00,TRUE
SENSEX,6,2024-01-01,31-12-2024,9:15:00,15:29:00,TRUE
