index,dte,from_date,to_date,start_time,end_time,run
NIFTY,5,2024-01-01,31-01-2024,9:15:00,15:29:00,TRUE
NIFTY,4,2024-01-01,31-01-2024,9:15:00,15:29:00,TRUE
NIFTY,3,2024-01-01,31-01-2024,9:15:00,15:29:00,TRUE
NIFTY,2,2024-01-01,31-01-2024,9:15:00,15:29:00,TRUE
NIFTY,1,2024-01-01,31-01-2024,9:15:00,15:29:00,TRUE
SENSEX,5,2024-01-01,31-01-2024,9:15:00,15:29:00,TRUE
SENSEX,4,2024-01-01,31-01-2024,9:15:00,15:29:00,TRUE
SENSEX,3,2024-01-01,31-01-2024,9:15:00,15:29:00,TRUE
SENSEX,2,2024-01-01,31-01-2024,9:15:00,15:29:00,TRUE
SENSEX,1,2024-01-01,31-01-2024,9:15:00,15:29:00,TRUE
