index,dte,from_date,to_date,start_time,end_time,run
NIFTY,1,01-01-2021,31-12-2021,09:15:00,15:29:00,TRUE
NIFTY,2,01-01-2021,31-12-2021,09:15:00,15:29:00,TRUE
NIFTY,3,01-01-2021,31-12-2021,09:15:00,15:29:00,TRUE
NIFTY,4,01-01-2021,31-12-2021,09:15:00,15:29:00,TRUE
NIFTY,5,01-01-2021,31-12-2021,09:15:00,15:29:00,TRUE
NIFTY,6,01-01-2021,31-12-2021,09:15:00,15:29:00,TRUE
NIFTY,1,01-01-2024,31-01-2025,09:15:00,15:29:00,FALSE
NIFTY,2,01-01-2024,31-01-2025,09:15:00,15:29:00,FALSE
NIFTY,3,01-01-2024,31-01-2025,09:15:00,15:29:00,FALSE
NIFTY,4,01-01-2024,31-01-2025,09:15:00,15:29:00,FALSE
NIFTY,5,01-01-2024,31-01-2025,09:15:00,15:29:00,FALSE
NIFTY,6,01-01-2024,31-01-2025,09:15:00,15:29:00,FALSE
SENSEX,1,01-01-2024,31-12-2024,09:15:00,15:29:00,FALSE
SENSEX,2,01-01-2024,31-12-2024,09:15:00,15:29:00,FALSE
SENSEX,3,01-01-2024,31-12-2024,09:15:00,15:29:00,FALSE
SENSEX,4,01-01-2024,31-12-2024,09:15:00,15:29:00,FALSE
SENSEX,5,01-01-2024,31-12-2024,09:15:00,15:29:00,FALSE
SENSEX,6,01-01-2024,31-12-2024,09:15:00,15:29:00,FALSE
