index,dte,from_date,to_date,start_time,end_time,run
NIFTY,1,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,2,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,3,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,4,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,5,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,6,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,1,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,2,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,3,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,4,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,5,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,6,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,1,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,2,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,3,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,4,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,5,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,6,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
SENSEX,1,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
SENSEX,2,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
SENSEX,3,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
SENSEX,4,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
SENSEX,5,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
SENSEX,6,01-06-2024,31-12-2024,09:15:00,15:29:00,TRUE
