index,from_dte,to_dte,from_date,to_date,start_time,end_time,run
NIFTY,30,1,01-01-2024,26-12-2024,09:15:00,15:29:00,TRUE
NIFTY,25,1,01-01-2024,26-12-2024,09:15:00,15:29:00,TRUE
NIFTY,20,1,01-01-2024,26-12-2024,09:15:00,15:29:00,TRUE
NIFTY,15,1,01-01-2024,26-12-2024,09:15:00,15:29:00,TRUE
NIFTY,10,1,01-01-2024,26-12-2024,09:15:00,15:29:00,TRUE
SENSEX,30,1,01-01-2024,26-12-2024,09:15:00,15:29:00,TRUE
SENSEX,25,1,01-01-2024,26-12-2024,09:15:00,15:29:00,TRUE
SENSEX,20,1,01-01-2024,26-12-2024,09:15:00,15:29:00,TRUE
SENSEX,15,1,01-01-2024,26-12-2024,09:15:00,15:29:00,TRUE
SENSEX,10,1,01-01-2024,26-12-2024,09:15:00,15:29:00,TRUE
